IDUNSPSC,descripcion_esp,descripcion_regional
26111532,Soportes o conjuntos del eje,Soportes o conjuntos del eje
26111601,Generadores diesel,Generadores diesel
60101205,Tarjetas perforadas de incentivo,Tarjetas perforadas de incentivo para la educacion
