IDUNSPSC,descripcion_esp,descripcion_regional
83101801,Suministro de electricidad monofásica,Servicios eléctricos
83101803,Suministro de electricidad  trifásica,Servicios eléctricos
83101804,Servicios de transmisión de energía eléctrica,Servicios eléctricos
83101806,Distribución de energía eléctrica rural,Servicios eléctricos
83101807,Distribución de energía eléctrica municipal,Servicios eléctricos
83101808,Monitoreo de la calidad de la energía,Servicios eléctricos
83101501,Abastecimiento de agua,Servicios de acueducto y alcantarillado
83101503,Gestión de control de la calidad del agua,Servicios de acueducto y alcantarillado
83101504,Gestión de distribución del agua,Servicios de acueducto y alcantarillado
83101506,Servicios de tratamiento de aguas,Servicios de acueducto y alcantarillado
83101508,Agua para la ciudad,Servicios de acueducto y alcantarillado
83101509,Agua para servicios,Servicios de acueducto y alcantarillado
83101510,Agua fría,Servicios de acueducto y alcantarillado
83101601,Suministro de gas natural,Servicios de petróleo y gas
78102202,Servicios de apartado postal,Servicios postales de paqueteo y courrier
78102203,Servicios de envío, recogida o entrega de correo,Servicios postales de paqueteo y courrier
83111501,Servicio de telefonía local,Comunicaciones telefónicas locales y de larga distancia
83111502,Servicios telefónicos de larga distancia,Comunicaciones telefónicas locales y de larga distancia
83111503,Servicios de proveedores de teléfonos con pago,Comunicaciones telefónicas locales y de larga distancia
83111505,Servicios de asistencia telefónica,Comunicaciones telefónicas locales y de larga distancia
83111507,"Servicios de buró de central de llamadas (""call center"")",Comunicaciones telefónicas locales y de larga distancia
83111510,Servicio de respuesta de voz interactiva,Comunicaciones telefónicas locales y de larga distancia
83111511,Servicio de telecomunicaciones de retransmisión en trama,Comunicaciones telefónicas locales y de larga distancia
83111601,Servicios en la red para mejorar las señales de telecomunicaciones ,Servicios de comunicaciones móviles
83111602,Servicios de sistemas de comunicación por satélite o terrestre,Servicios de comunicaciones móviles
83111603,Servicios de telefonía celular,Servicios de comunicaciones móviles
83111605,Leasing de segmentos de espacio,Servicios de comunicaciones móviles
72101518,Servicio de alquiler de generadores portátiles,Servicios de apoyo para la construcción
72141701,Servicio de alquiler o leasing de maquinaria para construcción,Servicios de alquiler o arrendamiento de equipo y maquinaria de construcción
72141702,Servicio de alquiler o leasing de equipo para construcción,Servicios de alquiler o arrendamiento de equipo y maquinaria de construcción
72154101,Servicio de alquiler y mantenimiento de compresores de aire,Servicios de mantenimiento y reparación de equipo de sistemas de distribución y acondicionamiento
78111808,Alquiler de vehículos,Transporte de pasajeros por carretera
72153613,Servicio de alquiler y mantenimiento de mobiliario para oficina,Servicios de terminado interior, dotación y remodelación
72154057,Servicio de alquiler de tanques de almacenamiento,Servicios de edificios especializados y comercios
72154064,Servicio de alquiler de equipos portátiles para iluminación,Servicios de edificios especializados y comercios
72101505,Servicios de cerrajería,Servicios de apoyo para la construcción
72101507,Servicio de mantenimiento de edificios,Servicios de apoyo para la construcción
72101510,Mantenimiento o reparación del sistema de plomería,Servicios de apoyo para la construcción
72101511,Servicio de instalación o mantenimiento o reparación de aires acondicionados,Servicios de apoyo para la construcción
72101516,Servicio de inspección, mantenimiento o reparación de extinguidores de fuego,Servicios de apoyo para la construcción
72102902,Servicios de paisajismo,Servicios de mantenimiento y reparación de instalaciones
72102905,Mantenimiento de terrenos exteriores,Servicios de mantenimiento y reparación de instalaciones
72103301,Servicios o reparaciones o mantenimiento de calles o parqueaderos,Servicios de mantenimiento y reparación de infraestructura
72111001,Servicios de reparación o ampliación por remodelación de viviendas unifamiliares,Servicios de construcción de unidades unifamiliares
72111002,Servicio de remodelación general de viviendas unifamiliares,Servicios de construcción de unidades unifamiliares
72111004,Servicio de construcción y reparación de patios y terrazas,Servicios de construcción de unidades unifamiliares
72111006,Servicio de construcción de casas unifamiliares nuevas,Servicios de construcción de unidades unifamiliares
72111008,Servicio de construcción de casas en la ciudad o casas jardín unifamiliares nuevas,Servicios de construcción de unidades unifamiliares
72111103,Servicio de construcción de condominios nuevos,Servicios de construcción de unidades multifamiliares
72111104,Servicio de construcción de residenciales estudiantiles nuevas,Servicios de construcción de unidades multifamiliares
72111106,Servicio de remodelación de apartamentos,Servicios de construcción de unidades multifamiliares
72111107,Servicio de remodelación de apartamentos cooperativos,Servicios de construcción de unidades multifamiliares
72111108,Servicio de remodelación de condominios,Servicios de construcción de unidades multifamiliares
72111109,Servicio de remodelación de residencias estudiantiles,Servicios de construcción de unidades multifamiliares
72111110,Servicio de remodelación de hoteles o moteles,Servicios de construcción de unidades multifamiliares
72111111,Servicios de contratación general para la construcción de residencias,Servicios de construcción de unidades multifamiliares
72154050,Servicio de mantenimiento o reparación de carritos de la compra,Servicios de edificios especializados y comercios
72154501,Servicio de mantenimiento y reparación de equipo pesado,Servicios de mantenimiento e instalación de equipo pesado
78181501,Servicio de pintura o reparación de carrocerías de vehículos,Servicios de mantenimiento y reparación de vehículos
78181502,Reparación de transmisiones,Servicios de mantenimiento y reparación de vehículos
78181503,Servicio de cambio fluidos de transmisión o de aceite,Servicios de mantenimiento y reparación de vehículos
78181505,Servicios de inspección de vehículos,Servicios de mantenimiento y reparación de vehículos
78181506,Servicios de reposición de vidrios de vehículos,Servicios de mantenimiento y reparación de vehículos
78181507,Reparación y mantenimiento automotor y de camiones ligeros,Servicios de mantenimiento y reparación de vehículos
78181508,Mantenimiento y reparación de camiones pesados,Servicios de mantenimiento y reparación de vehículos
72151802,Servicio de refacción y reparación de componentes de maquinaria,Servicios de mantenimiento y reparación de instalación de máquinas
72154065,Mantenimiento de equipos eléctricos de copiado,Servicios de edificios especializados y comercios
72154301,Servicio de mantenimiento o reparación de equipos de turbina,Servicios de mantenimiento y reparación de equipo motivo y generación de energía eléctrica
72101506,Servicios de mantenimiento de ascensores,Servicios de apoyo para la construcción
72103102,Reparación de sistemas de transporte de materiales,Instalación y reparación de servicios de bandas transportadoras
72154502,Servicio de mantenimiento y reparación de grúas,Servicios de mantenimiento e instalación de equipo pesado
72154503,Servicio de alquiler de grúas,Servicios de mantenimiento e instalación de equipo pesado
85161501,Mantenimiento o reparación de equipo médico mayor (capital),Reparación de equipo médico o quirúrgico
85161502,Mantenimiento o reparación de equipo médico menor,Reparación de equipo médico o quirúrgico
85161503,Mantenimiento o reparación instrumental medico o quirúrgico,Reparación de equipo médico o quirúrgico
85161505,Tarifa de embarque y alquiler de equipo medico o quirúrgico o de implantes,Reparación de equipo médico o quirúrgico
72151504,Servicio de acondicionamiento de energía para computadores,Servicios de sistemas eléctricos
72154066,Mantenimiento general de equipos de oficina ,Servicios de edificios especializados y comercios
72103302,Mantenimiento o soporte de equipo de telecomunicaciones,Servicios de mantenimiento y reparación de infraestructura
72151608,Servicio de mantenimiento o reparación de sistemas satelitales,Servicios de sistemas especializados de comunicación
92121701,Vigilancia o mantenimiento o monitoreo de alarmas,Servicios de sistemas de seguridad
72101509,Servicio de mantenimiento o reparación de equipos y sistemas de protección contra incendios,Servicios de apoyo para la construcción
72101517,Servicio de mantenimiento o reparación de generadores portátiles,Servicios de apoyo para la construcción
72154104,Servicio de mantenimiento y reparación de cajas de cambios,Servicios de mantenimiento y reparación de equipo de sistemas de distribución y acondicionamiento
72154302,Servicio de instalación y mantenimiento de motores,Servicios de mantenimiento y reparación de equipo motivo y generación de energía eléctrica
78181901,Mantenimiento o reparación de equipos de navegación,Servicios de mantenimiento y reparación de equipo de navegación
72101514,Servicio de construcción de zonas de desperdicios,Servicios de apoyo para la construcción
72141002,Servicio de construcción y reparación de barandas de seguridad y señales de calles y carreteras,Servicios de construcción de autopistas y carreteras
72141003,Servicio de mantenimiento de calles y carreteras,Servicios de construcción de autopistas y carreteras
72141102,Servicio de nivelación del terreno,Servicios de pavimentación y superficies de edificios de infraestructura
72141206,Servicio de dragado,Servicios de construcción marina
72141402,Remodelación y reparación de instalaciones de detención,Servicios de construcción y reparación de facilidades de detención
72141602,Servicio de corte para derecho de vía,Servicios de construcción de sistemas de tránsito masivo
72151001,Servicio de mantenimiento de calderas,Servicios de construcción y mantenimiento de calderas y hornos
72151002,Servicio de instalación y montaje de calderas,Servicios de construcción y mantenimiento de calderas y hornos
72151003,Servicio de mantenimiento y reparación de sistemas de calefacción,Servicios de construcción y mantenimiento de calderas y hornos
72151004,Servicio de mantenimiento y reparación de sistemas de calefacción por agua caliente,Servicios de construcción y mantenimiento de calderas y hornos
72151101,Servicio de construcción de sistemas sépticos,Servicios de construcción de plomería
72151207,Servicio de instalación y mantenimiento acondicionamiento del aire, enfriamiento y calefacción hvac,Servicios de construcción y mantenimiento de HVAC calefacción y enfriamiento y aire acondicionado
72151301,Servicio de pintura residencial,Servicios de pintura e instalación de papel de colgadura
72151302,Servicio de pintura comercial,Servicios de pintura e instalación de papel de colgadura
72151303,Servicio de pintura industrial,Servicios de pintura e instalación de papel de colgadura
72151305,Servicio de pintura de puentes,Servicios de pintura e instalación de papel de colgadura
72151306,Servicio de marcación de pavimento,Servicios de pintura e instalación de papel de colgadura
72151401,Servicio comercial de construcción y revestimiento de paredes ,Servicios de construcción de recubrimientos de muros
72151501,Servicios de instalación de iluminación,Servicios de sistemas eléctricos
72151503,Servicio de instalación de plantas de cogeneración,Servicios de sistemas eléctricos
72151507,Servicio de instalación de controles electrónicos,Servicios de sistemas eléctricos
72151511,Servicio de mantenimiento o reparación de sistemas de iluminación,Servicios de sistemas eléctricos
72151514,Servicio de mantenimiento de energía de emergencia o de reserva,Servicios de sistemas eléctricos
72151601,Servicio de instalación de televisión por cable,Servicios de sistemas especializados de comunicación
72151602,Servicio de instalación de cables de fibra óptica,Servicios de sistemas especializados de comunicación
72151603,Servicio de instalación de equipos de sonido especializados,Servicios de sistemas especializados de comunicación
72151604,Servicio de  instalación de teléfonos y equipos para teléfonos,Servicios de sistemas especializados de comunicación
72151605,Servicio de cableado para video, datos y voz,Servicios de sistemas especializados de comunicación
72151701,Servicio de instalación de sistemas de control de acceso,Servicios de instalación de sistemas de seguridad física e industrial
72151702,Servicio de instalación de sistemas de televisión de circuito cerrado,Servicios de instalación de sistemas de seguridad física e industrial
72151703,Servicio de instalación de sistemas de alarmas contra robo y detección de fuego,Servicios de instalación de sistemas de seguridad física e industrial
72151704,Servicio de instalación y mantenimiento de sistemas instrumentados de seguridad,Servicios de instalación de sistemas de seguridad física e industrial
72151901,Servicio de cimentación de construcciones,Servicios de albañilería y mampostería
72151911,Servicio de instalación de adoquines unitarios,Servicios de albañilería y mampostería
72152301,Servicio de carpintería rústica,Servicios de carpintería
72152302,Servicio de ebanistería,Servicios de carpintería
72152402,Servicio de instalación de ventanas y puertas prefabricadas,Servicios de montaje e instalación de ventanas y puertas
72152403,Servicio de enmarcación de vías de entrada y de salida,Servicios de montaje e instalación de ventanas y puertas
72152504,Servicio de instalación de baldosas de cerámica  para pisos,Servicios de instalación de pisos
72152506,Servicio de instalación de piso de revestimiento elástico,Servicios de instalación de pisos
72152509,Servicio de nivelación de pisos,Servicios de instalación de pisos
72152601,Servicio de techado,Servicios de techado y paredes externas y láminas de metal
72152605,Servicio de instalación y reparación de cielorrasos,Servicios de techado y paredes externas y láminas de metal
72152606,Servicio de instalación y reparación de paredes externas,Servicios de techado y paredes externas y láminas de metal
72152901,Servicio de instalación de frentes metálicos de edificios,Servicios de montaje de acero estructural
72152904,Servicio de instalación de sistemas de muros metálicos en exteriores,Servicios de montaje de acero estructural
72153002,Servicio de instalación y reparación de vidrios en ventanas,Servicios de vidrios y ventanería
72153202,Servicio de revestimiento para estructuras metálicas,Servicios de recubrimiento, impermeabilización protección contra clima y fuego
72153204,Servicio de impermeabilización,Servicios de recubrimiento, impermeabilización protección contra clima y fuego
72153206,Servicio de protección ignífuga en edificios,Servicios de recubrimiento, impermeabilización protección contra clima y fuego
72153303,Servicio de mantenimiento o reparación de equipos de estaciones de servicio,Servicios de mantenimiento e instalación de equipo de estación de servicio
72153401,Servicios de aparejos,Servicios de aparejamiento y andamiaje
72153605,Servicio de remodelación de cocinas y baños,Servicios de terminado interior, dotación y remodelación
72153606,Servicio de instalación de muebles de oficina,Servicios de terminado interior, dotación y remodelación
72153608,Servicio de instalación de cortinas o persianas,Servicios de terminado interior, dotación y remodelación
72153611,Servicio de instalación de gabinetes de cocina,Servicios de terminado interior, dotación y remodelación
72153612,Diseño o decoración de interiores,Servicios de terminado interior, dotación y remodelación
72153701,Servicio de instalación de equipos en instalaciones de parqueaderos,Servicios de instalación, mantenimiento y reparación de equipos y construcción de parqueaderos
72154003,Servicio de instalación de toldos,Servicios de edificios especializados y comercios
72154010,Servicio de instalación, mantenimiento y reparación de ascensores,Servicios de edificios especializados y comercios
72154013,Servicio de construcción de cercas,Servicios de edificios especializados y comercios
72154018,Servicios de instalación de fuentes,Servicios de edificios especializados y comercios
72154020,Servicio de instalación de sistemas de gases médicos,Servicios de edificios especializados y comercios
72154022,Servicio de instalación y mantenimiento de equipos hidráulicos,Servicios de edificios especializados y comercios
72154024,Servicio de herrajes y trabajos de metalistería ornamentales,Servicios de edificios especializados y comercios
72154028,Servicio de instalación y mantenimiento de avisos,Servicios de edificios especializados y comercios
72154030,Servicio de instalación y reparación campanas de torre,Servicios de edificios especializados y comercios
72154032,Servicio de instalación y reparación de ventanas, puertas y alambrado,Servicios de edificios especializados y comercios
72154035,Servicio de reabastecimiento de combustible de centrales nucleares,Servicios de edificios especializados y comercios
72154048,Servicio de balcones y pasillos exteriores,Servicios de edificios especializados y comercios
72154052,Servicio de renovación  y reparación posdesastre,Servicios de edificios especializados y comercios
72154055,Servicio de limpieza de tanques,Servicios de edificios especializados y comercios
72154056,Servicio de mantenimiento o reparación de tanques,Servicios de edificios especializados y comercios
72154059,Servicios de detección, sellado y reparación de fugas,Servicios de edificios especializados y comercios
72154103,Servicio de mantenimiento o reparación de bombas rotativas,Servicios de mantenimiento y reparación de equipo de sistemas de distribución y acondicionamiento
72154108,Servicio de mantenimiento o reparación de bombas alternativas,Servicios de mantenimiento y reparación de equipo de sistemas de distribución y acondicionamiento
72154109,Servicio de mantenimiento o reparación de bombas centrífugas,Servicios de mantenimiento y reparación de equipo de sistemas de distribución y acondicionamiento
72154110,Servicio de mantenimiento y reparación de torres de refrigeración con ventilador de aletas ,Servicios de mantenimiento y reparación de equipo de sistemas de distribución y acondicionamiento
72101508,Servicio de limpieza de pisos,Servicios de apoyo para la construcción
72102103,Servicios de exterminación o fumigación,Control de plagas
72102104,Control estructural de plagas,Control de plagas
72102105,Captura de animales,Control de plagas
72102106,Control de roedores,Control de plagas
72103304,Servicios de barrido de calles o parqueaderos,Servicios de mantenimiento y reparación de infraestructura
72153501,Servicio de limpieza de exteriores de edificios,Servicios de limpieza estructural externa
72153503,Servicio de limpieza a vapor en exteriores de edificios,Servicios de limpieza estructural externa
72153505,Servicio de limpieza del emplazamiento de la obra,Servicios de limpieza estructural externa
72154036,Servicio de instalación de sistemas centralizados de limpieza por aspirado,Servicios de edificios especializados y comercios
72154043,Servicio de fumigación industrial y comercial,Servicios de edificios especializados y comercios
76111501,Servicios de limpieza de edificios,Servicios de limpieza y mantenimiento de edificios generales y de oficinas
76121501,Recolección o destrucción o transformación o eliminación de basuras,Recolección y disposición de basuras
76122407,Tarifa de transporte de basura,Honorarios de disposición y tratamiento de basuras
85101501,Servicios hospitalarios de emergencia o quirúrgicos,Centros de salud
85101502,Servicios clínicos especializados privados,Centros de salud
85101503,Servicios de consultorios médicos,Centros de salud
85101505,Servicios respiratorios hospitalarios ,Centros de salud
85101601,Servicios de enfermería,Personas de soporte de prestación de servicios de salud
85101705,Administración de salud pública,Servicios de administración de salud
85101706,Servicios tradicionales de la atención de salud ,Servicios de administración de salud
85111604,Servicios de prevención o control de enfermedades cardiovasculares,Prevención y control de enfermedades no contagiosas
85111615,Servicios de prevención o control de enfermedades diarreicas,Prevención y control de enfermedades no contagiosas
85121502,Servicios de consulta de médicos de atención primaria,Servicios de prestadores de cuidado primario
85121504,Servicios médicos de emergencia de médicos de atención primaria,Servicios de prestadores de cuidado primario
85121601,Servicios de ginecología y obstetricia,Servicios médicos de doctores especialistas
85121608,Servicios de psicología,Servicios médicos de doctores especialistas
85121612,Servicios de ortopedia,Servicios médicos de doctores especialistas
85121801,Servicios de laboratorios de análisis de sangre,Laboratorios médicos
85121802,Servicios de laboratorios bacteriológicos,Laboratorios médicos
85121808,Servicios de laboratorios de rayos x,Laboratorios médicos
85121901,Servicios de preparación farmacéutica,Farmacéuticos
85121902,Servicios farmacéuticos comerciales,Farmacéuticos
85122105,Servicios de trastornos alimenticios,Servicios de rehabilitación
85131502,Ensayos clínicos de medicamentos de uso humano,Servicios de medicina experimental
85141701,Valoración del diagnóstico inicial,Práctica homeopática
85151506,Estudios sobre alimentos o hábitos alimentarios,Tecnología de alimentos
85151703,Evaluación de las necesidades de alimentos de emergencia,Planeación y ayuda de política de alimentos
77101501,Evaluación riesgos o peligros,Evaluación de impacto ambiental
77101503,Análisis de indicadores ambientales,Evaluación de impacto ambiental
77101701,Servicios de asesoramiento sobre ciencias ambientales,Servicios de asesoría ambiental
77101803,Servicios de auditoria ambiental sectoriales,Auditoría ambiental
80101708,Servicio de gestión de sustancias químicas,Gerencia industrial
80141501,Análisis de mercados,Investigación de mercados
80141512,Encuestas para investigaciones de mercados en el lugar ,Investigación de mercados
81101505,Ingeniería estructural,Ingeniería civil
81101507,Ingeniería de represas,Ingeniería civil
81101508,Ingeniería arquitectónica,Ingeniería civil
81101515,Ingeniería de infraestructura de instalaciones o fábricas,Ingeniería civil
81101516,Servicio de consultoría de energía o servicios públicos,Ingeniería civil
81101605,Servicios electromecánicos,Ingeniería mecánica
81101703,Servicios de pruebas técnicas , Ingeniería eléctrica y electrónica
81101706,Mantenimiento de equipos de laboratorio, Ingeniería eléctrica y electrónica
81101707,Mantenimiento de equipos de impresión, Ingeniería eléctrica y electrónica
81101713,Servicio técnico y de diseño de instrumentos de medición y de registro electrónicos, Ingeniería eléctrica y electrónica
81102402,Mantenimiento y reparación  de líneas de tendido aéreo de alto voltaje,Ingeniería de transmisión de energía eléctrica
81102702,Servicio de ingeniería y diseño para sistemas de control de procesos,Servicios de diseño e ingeniería de sistemas instrumentados de control 
81131504,Encuestas por muestreo,Metodología y Análisis
81141504,Reparación o calibración de pruebas de equipo,Control de calidad
81141601,Logística,Manejo de cadena de suministros
81141801,Análisis de riesgo o seguridad,Administración de instalaciones
81141802,Higiene o ventilación industrial,Administración de instalaciones
81141804,Servicio de inspección de equipos,Administración de instalaciones
81141805,Servicio de inspección de edificios,Administración de instalaciones
81141807,Servicios de inspección de plomería o alcantarillado,Administración de instalaciones
81141902,Servicio de investigación y desarrollo de aplicaciones o tecnología,Servicios de investigación y desarrollo de tecnología manufacturera
81151602,Producción de mapas,Cartografía
81151604,Agrimensura,Cartografía
81151801,Estudio oceanográfico,Oceanografía e hidrología
81151804,Estudios hidrológicos,Oceanografía e hidrología
81151805,Estudios batimétricos,Oceanografía e hidrología
80121502,Servicios para procesos de apelación,Servicios de derecho penal
80121601,Servicios legales sobre competencia o regulaciones gubernamentales,Servicios de derecho comercial
80121610,Servicios legales de cobro de deudas o cartera.,Servicios de derecho comercial
80121703,Servicios legales de sobre la  propiedad,Servicios de responsabilidad civil
80121704,Servicios legales sobre contratos,Servicios de responsabilidad civil
80121706,Servicios legales sobre derecho laboral,Servicios de responsabilidad civil
80121707,Servicios legales para disputas laborales,Servicios de responsabilidad civil
80121804,Servicios legales para tutorías o de custodia,Servicios de derecho de familia
80161702,Servicio de disposición o venta de bienes de capital,Servicios de recuperación de activos
80161801,Servicio de alquiler o leasing de fotocopiadoras,Servicios de alquiler o arrendamiento de equipo de oficina
84111502,Servicio de contabilidad financiera,Servicios contables
84111505,Servicios de contabilidad de sueldos y salarios,Servicios contables
84111506,Servicios de facturación,Servicios contables
84111508,Servicio de administración de exportaciones  y de contabilidad,Servicios contables
84111601,Auditorias de cierre del ejercicio,Servicios de auditoría
84111602,Revisiones trimestrales,Servicios de auditoría
84111603,Auditorias internas,Servicios de auditoría
84111802,Servicios de asesoría  fiscal,Asuntos y preparación de impuestos
86101506,Servicios de formación profesional forestal,Servicios de entrenamiento en Agricultura y silvicultura y otros recursos naturales
86101508,Servicios de formación profesional ambiental,Servicios de entrenamiento en Agricultura y silvicultura y otros recursos naturales
86101509,Servicios de formación profesional en recursos naturales,Servicios de entrenamiento en Agricultura y silvicultura y otros recursos naturales
86101601,Servicios de formación profesional en informática,Servicios de capacitación vocacional científica
86101606,Servicios de formación profesional en electrónica,Servicios de capacitación vocacional científica
86101607,Servicios de formación profesional en telecomunicaciones,Servicios de capacitación vocacional científica
86101609,Servicios de formación profesional industrial,Servicios de capacitación vocacional científica
86101702,Capacitación relacionada con el turismo,Servicios de capacitación vocacional no - científica
86101703,Capacitación sobre bibliotecas o documentación,Servicios de capacitación vocacional no - científica
86101704,Capacitación sobre cadenas de aprovisionamiento o suministro,Servicios de capacitación vocacional no - científica
86101705,Capacitación administrativa,Servicios de capacitación vocacional no - científica
86101706,Servicios de formación profesional en asistencia sanitaria,Servicios de capacitación vocacional no - científica
86101709,Servicios de capacitación en seguridad,Servicios de capacitación vocacional no - científica
86101711,Servicios de capacitación sobre la lucha contra incendios,Servicios de capacitación vocacional no - científica
86101713,Servicios de formación profesional en derecho,Servicios de capacitación vocacional no - científica
86101714,Servicios de formación profesional  en ejecución de la ley,Servicios de capacitación vocacional no - científica
86101801,Formación de recursos humanos para el sector bancario o financiero,Entrenamiento en servicio y desarrollo de mano de obra
86101802,Servicios de capacitación en readiestramiento o repaso,Entrenamiento en servicio y desarrollo de mano de obra
86101808,Servicios de formación de recursos humanos para el sector  público,Entrenamiento en servicio y desarrollo de mano de obra
86101810,Capacitación en habilidades personales,Entrenamiento en servicio y desarrollo de mano de obra
86111503,Servicios de aprendizaje diplomado a distancia,Servicios de aprendizaje a distancia
86111602,Servicios de educación de tiempo parcial para adultos,Educación de adultos
86111604,Educación para empleados,Educación de adultos
86121501,Servicios educativos preescolares,Escuelas elementales y secundarias
86121503,Escuelas privadas de educación primaria o secundaria,Escuelas elementales y secundarias
86121504,Escuelas públicas de educación primaria o secundaria,Escuelas elementales y secundarias
86121602,Institutos técnicos,Colegios Menores
86121802,Seminarios teológicos,Escuelas profesionales
86121803,Escuelas profesionales técnicas,Escuelas profesionales
86121804,Escuelas profesionales no técnicas,Escuelas profesionales
86131502,Pintura,Bellas Artes
86131503,Esculturas,Bellas Artes
86131504,Estudios de medios de comunicación,Bellas Artes
86131801,Academias de servicio,Educación militar
86141501,Servicios de asesorías educativas ,Servicios de guía educativa
86141702,Tecnología audiovisual,Tecnología educacional
86141703,Instrucción programada asistida por computador,Tecnología educacional
90152101,Servicios de asistencia personal,Servicios de conserjería
80101507,Servicios de asesoramiento sobre tecnologías de la información,Servicios de consultoría de negocios y administración corporativa
80111608,Desarrolladores temporales de software de tecnologías de la información,Servicios de personal temporal
80111609,Administradores temporales de bases de datos o de sistemas de tecnologías de la información ,Servicios de personal temporal
80111711,Desarrolladores de software de tecnologías de la información permanentes ,Reclutamiento de personal
81101512,Servicios de sistemas de información geográfica (sig),Ingeniería civil
81111501,Diseño de aplicaciones de software de la unidad central,Ingeniería de software o hardware
81111503,Diseño de integración de sistemas,Ingeniería de software o hardware
81111504,Servicios de programación de aplicaciones,Ingeniería de software o hardware
81111505,Servicios de programación de sistemas operativos,Ingeniería de software o hardware
81111506,Servicios de programación para clientes o servidores,Ingeniería de software o hardware
81111507,Servicios de programación de aplicaciones de bases de datos (erp),Ingeniería de software o hardware
81111508,Servicios de implementación de aplicaciones,Ingeniería de software o hardware
81111509,Servicios de desarrollo de aplicaciones para clientes de internet / intranet,Ingeniería de software o hardware
81111510,Servicios de desarrollo de aplicaciones para servidores de internet / intranet,Ingeniería de software o hardware
81111604,Programación para algol,Programadores de computador
81111705,Arquitectura de sistemas,Sistemas de manejo de información MIS
81111706,Servicios de planificación de redes,Sistemas de manejo de información MIS
81111707,Servicios de planificación de sistemas,Sistemas de manejo de información MIS
81111708,Servicios de planificación de telecomunicaciones,Sistemas de manejo de información MIS
81111801,Seguridad de los computadores, redes o internet,Servicios de sistemas y administración de componentes de sistemas
81111802,Servicios de administración de la unidad central,Servicios de sistemas y administración de componentes de sistemas
81111803,Mantenimiento o soporte de redes de área local (lan),Servicios de sistemas y administración de componentes de sistemas
81111805,Mantenimiento o soporte de sistemas patentados o autorizados,Servicios de sistemas y administración de componentes de sistemas
81111809,Servicio de instalación de sistemas,Servicios de sistemas y administración de componentes de sistemas
81111811,Servicios de soporte técnico o de mesa de ayuda,Servicios de sistemas y administración de componentes de sistemas
81111812,Servicio de mantenimiento o soporte del hardware del computador,Servicios de sistemas y administración de componentes de sistemas
81111818,Garantía de terceros,Servicios de sistemas y administración de componentes de sistemas
81111819,Servicios de garantía de calidad,Servicios de sistemas y administración de componentes de sistemas
81112001,Servicio de procesamiento de datos en línea,Servicios de datos
81112003,Servicios de centros de datos,Servicios de datos
81112005,Servicio de escaneo de documentos,Servicios de datos
81112101,Proveedores de servicio de internet (psi),Servicios de internet
81112102,Proveedor de servicio de correo electrónico,Servicios de internet
81112103,Servicios de diseño de sitios web www   ,Servicios de internet
81112104,Proveedores de motores de búsqueda en la web,Servicios de internet
81112105,Servicios de hospedaje de operación de sitios web,Servicios de internet
81112107,Nombres de los dominio de internet,Servicios de internet
81112201,Tarifas de soporte o mantenimiento,Mantenimiento y soporte de software
81112202,Actualizaciones o parches de software,Mantenimiento y soporte de software
81112204,Mantenimiento de software de sistemas operativos,Mantenimiento y soporte de software
81112205,Mantenimiento de software de sistemas de gestión de bases de datos,Mantenimiento y soporte de software
81112206,Mantenimiento de software de búsqueda o recuperación de la información,Mantenimiento y soporte de software
81112207,Mantenimiento de software de videoconferencias,Mantenimiento y soporte de software
81112210,Mantenimiento de software de gestión de sistemas,Mantenimiento y soporte de software
81112212,Mantenimiento de software de administración de relaciones con el consumidor,Mantenimiento y soporte de software
81112213,Mantenimiento del software de contabilidad,Mantenimiento y soporte de software
81112218,Aplicaciones para el mantenimiento de software.,Mantenimiento y soporte de software
81112220,Mantenimiento de software de servidores,Mantenimiento y soporte de software
81112221,Servicio de mantenimiento del software del punto de venta,Mantenimiento y soporte de software
81112303,Mantenimiento de computadores “mainframe”,Mantenimiento y soporte de hardware de computador
81112305,Mantenimiento de servidores x86,Mantenimiento y soporte de hardware de computador
81112306,Mantenimiento de impresoras,Mantenimiento y soporte de hardware de computador
81112307,Mantenimiento de pc o puestos de trabajo o cuadernos,Mantenimiento y soporte de hardware de computador
81112308,Servicio de soporte y mantenimiento de hardware de puntos de venta,Mantenimiento y soporte de hardware de computador
81112309,Servicio de instalación o implementación de hardware de puntos de venta,Mantenimiento y soporte de hardware de computador
81112401,Alquiler de hardware de computadores,Servicios de alquiler o arrendamiento de hardware de computador
81112501,Servicio de licencias del software del computador,Servicios de alquiler o arrendamiento de licencias de software de computador
81112502,Servicio de arriendo o leasing de software de computadores,Servicios de alquiler o arrendamiento de licencias de software de computador
81161501,Servicio de administración de aplicaciones de software,Servicios de administración de acceso
81161503,Servicio de administración de carpetas en la red,Servicios de administración de acceso
81161601,Servicio de administración de mensajería instantánea,Servicios de correo electrónico y mensajería
81161701,Servicio de administración de fax,Servicios de telecomunicaciones
81161703,Servicio de administración de telefonía móvil,Servicios de telecomunicaciones
81161704,Servicio de soporte para telefonía móvil,Servicios de telecomunicaciones
81161710,Servicios de soporte del correo de voz,Servicios de telecomunicaciones
81161711,Servicio de videoconferencias,Servicios de telecomunicaciones
82141504,Servicios de diseño de gráficos o gráficas,Servicios de diseño artístico
80101501,Servicios de asesoramiento sobre la puesta en marcha de empresas nuevas ,Servicios de consultoría de negocios y administración corporativa
80101504,Servicios de asesoramiento sobre planificación estratégica,Servicios de consultoría de negocios y administración corporativa
