IDUNSPSC,descripcion_esp,descripcion_regional
50463229,Maíz  dorado illini enlatado o envasado,Maíces en lata o en frasco
50463230,Maíz  illini extra dulce enlatado o envasado,Maíces en lata o en frasco
50463231,Maíz  increíble enlatado o envasado,Maíces en lata o en frasco
50463232,Maíz  lochief enlatado o envasado,Maíces en lata o en frasco
50463233,Maíz jubileo enlatado o envasado,Maíces en lata o en frasco
50463234,Maíz jupbileo super dulce enlatado o envasado,Maíces en lata o en frasco
50463235,Maíz  confite korn enlatado o envasado,Maíces en lata o en frasco
50463236,Maíz  beso y acuso enlatado o envasado,Maíces en lata o en frasco
50463237,Maíz  lancelot enlatado o envasado,Maíces en lata o en frasco
50463238,Maíz dulce maple enlatado o envasado,Maíces en lata o en frasco
50463239,Maíz  medley enlatado o envasado,Maíces en lata o en frasco
