nombre,idobjeto,idunidad,idProcesoCompra,idCubs
MANO DE OBRA NO CALIFICADA MANTENIMIENTO AREA VERDE,12200,30,1,10101501
MANO DE OBRA NO CALIFICADA REPARACIONES VARIAS EDIFICIOS,12200,30,1,10101501
MANOMETRO,39520,4,37,41103311
MANTA CALEFACTORA CON SDC DIGITAL,42430,4,1,10101501
MANTENIMIENTO CORRECTIVO DE UPS,23390,4,116,10101501
MANTENIMIENTO DE BALANZA,23390,4,132,10101501
MANTENIMIENTO DE CAMPANA DE GAS,23390,4,131,10101501
MANTENIMIENTO DE MOTOR DE LANCHA,23390,4,176,10101501
Mantenimiento de oficinas,23100,4,47,10101501
MANTENIMIENTO PREVENTIVO Y CORRECTIVO DE AIREADORES (BLOWERS),23390,4,1,10101501
MANTENIMIENTO PREVENTIVO Y CORRECTIVO DE EQUIPOS DE PRODUCCION,23310,4,1,10101501
MANTENIMIENTO PREVENTIVO Y CORRECTIVO DE MAQUINAS PARA FUMIGAR,23390,4,1,10101501
MANTENIMIENTO PREVENTIVO Y CORRECTIVO DE MAQUINAS PODADORAS,23390,4,1,10101501
MANTENIMIENTO PREVENTIVO Y CORRECTIVO DE TANQUES DE CULTIVO DE PECES,23390,4,1,10101501
MANTENIMIENTO PREVENTIVO Y CORRECTIVO DE VEHICULOS,23200,4,1,10101501
MANTENIMIENTO PREVENTIVO Y CORRECTIVO DEL POZO,23390,4,1,10101501
MANTENIMIENTO PREVENTIVO Y CORRECTIVO DEL POZO,23390,4,1,10101501
MANTENIMIENTO PREVENTIVO Y CORRECTIVO DEL SILLON ODONTOLOGICO,23390,4,1,10101501
MANTENIMIENTO PREVENTIVO Y CORRECTIVO DEL SISTEMA DE RECIRCULACION DE AGUA,23390,4,1,10101501
MANTENIMIENTO PREVENTIVO Y CORRECTIVO DEL SISTEMA ELECTRICO,23390,4,1,10101501
MANTENIMIENTO PREVENTIVO Y/O CORRECTIVO DE UNIDAD DE AIRE ACONDICIONADO,23360,4,1,10101501
MANTENIMIENTO Y REPARACION DE AULAS Y LABORATORIOS,23100,4,1,10101501
"MAQUETAS TRES D, SISTEMA REPRODUCTOR",42710,4,1,10101501
"MAQUINA PARA INFLAR GLOBOS, ELECTRICA",42800,4,95,10101501
MAQUINA PARA LAMINAR,42120,4,64,10101501
MARACA,42720,4,1,10101501
MARCADOR RESALTADOR,39200,4,3,10101501
MARCADORES ACRILICOS (PARA PIZARRA),39200,4,1,10101501
MARCADORES PERMANENTES,39200,4,1,10101501
MASCARILLA QUIRÚRGICA,39510,24,1,10101501
MASKINGTAPE,39200,39,1,10101501
MATENIMIENTO PREVENTIVO Y CORRECTIVO EQUIPO TECNOLOGICO,23390,4,101,10101501
MATERIAL DE EMPAQUE AL VACÍO,35800,21,1,10101501
MECHA PARA TRAPEADOR,39100,4,1,10101501
MECHAS DE AUDIO TRIFÁSICO PARA CONSOLA/MICRÓFONO,39600,4,1,10101501
MECHERO BUSEN,39520,4,1,10101501
MECHEROS DE VIDRIO,39520,4,1,10101501
MEDALLA,25900,4,1,10101501
MEDIDOR DE CONDUCTIVIDAD TERMICA,42430,4,145,10101501
MEDIDOR DE OXIGENO,42430,4,1,10101501
MEMBRANAS DE MICROFILTRACIÓN,39520,24,1,10101501
MEMORIA EXTRAIBLE,39600,4,5,10101501
MEMORIA USB,39600,4,6,10101501
MEMORIAS RAM DDR3,39600,4,6,10101501
MERIENDA,29100,4,63,10101501
MESA,42110,4,1,10101501
MESA DE ACERO INOXIDABLE (PARA LABORATORIOS),42430,4,90,10101501
MESA DE FUERZA DE ALTA PRESICION,42430,4,90,10101501
MESA PICNIC PARA JARDIN CON BANCA INCORPORADA,42110,4,64,10101501
MESA PLEGABLE,42110,4,64,10101501
MESA TERMINAL,42110,4,1,10101501
METABISULFITO DE SODIO,35100,29,1,10101501
METRO (PARA MEDIR),36400,4,153,10101501
MEZCLADOR DE CONCRETO,42210,4,1,10101501
MEZCLADORA HORIZONTAL,42220,4,1,10101501
MICRÓFONOS,39600,4,1,10101501
MICROFONOS ALAMBRICOS,39600,4,125,10101501
MICROONDAS,42140,4,118,10101501
MICROORGANISMOS TERMÓFILOS,35100,21,1,10101501
MICROPIPETAS,39520,4,37,10101501
MICRORGANISMOS MESÓFILOS,35100,21,1,10101501
MICROSCOPIO,42430,4,1,10101501
MINIBAR,42140,4,118,10101501
MOCOSOLVE,35210,24,1,10101501
MODULARES PARA CAFETERIAS,42130,4,1,10101501
MOLDE DE METAL,39400,4,1,10101501
MOLIBDATO DE AMONIO,35100,29,1,10101501
MOLINO DE GRANO,42220,4,1,10101501
MOLINO DE GRANO SECO,42220,4,1,10101501
MOLINO PARA MAÍZ,42220,4,1,10101501
MONTACARGA,42340,4,1,10101501
MORTERO Y PISTILO,39520,4,1,10101501
MOTOCICLETA,42310,4,1,10101501
MOTOR DE AIRE ACONDICIONADO,42800,4,1,10101501
MOTOR PARA TANQUE ENFRIADOR,42800,4,1,10101501
"MOUSE ALAMBRICO, USB",39600,4,1,10101501
MOUSE OPTICO USB,39600,4,1,10101501
MOUSEPAD,39600,4,1,10101501
MUCOSOLVE,35210,4,1,10101501
MUEBLE MODULAR PARA OFICINA,42110,4,1,10101501
MUFA,39300,4,1,10101501
MULTIPARAMETROS CON SONDA DE 50 METROS,42430,4,90,10101501
MULTIPLICADOR DE TORQUE,36400,4,178,10101501
NAFTOL,35100,29,1,10101501
NAPROXENO,35210,24,1,10101501
NE555P IC 555 TEXAS INSTRUMENTS DIP-8 TIMER CHIP NE555,39600,4,1,10101501
NED (N-(1-NAFTIL) ETILENDIAMINA DICLORHIDRATO),35100,29,1,10101501
NED (N-(1-NAFTIL)ETILENDIAMINA DICLORHIDRATO C??H??CL?N?,35100,29,1,10101501
NEOBOL,35210,29,1,10101501
NET (NEGRO DE ERICOMO T) C20H12N3O7SNA EN POLVO,35100,29,1,10101501
NEVERA,42140,4,1,10101501
NITRATO DE CALCIO,35100,29,37,10101501
NITRATO DE PLATA AGNO3,35100,29,1,10101501
NITRATO DE POTASIO KNO3,35100,29,1,10101501
NITRITO DE SODIO,35100,29,1,10101501
NITRITO DE SODIO NANO2,35100,29,1,10101501
NITROPRUSIATO DE SODIO,35100,29,1,10101501
NITROPRUSIATO DE SODIO NA2 (FE(CN)5NO) .2H2O,35100,29,1,10101501
NYLON,35800,43,20,10101501
OASIS /DISPENSADOR DE AGUA,42140,4,118,10101501
OLLAS DE COCCIÓN,39400,4,1,10101501
OXALATO DE SODIO NA2C2O4,35100,29,1,10101501
PAGO DE PUBLICACION DE ARTICULO CIENTIFICO,25300,4,1,10101501
PAILAS PLÁSTICAS,35800,4,1,10101501
PALA,36400,4,178,27112004
PALILLOS DE MADERA,39520,24,1,10101501
PALO DE ESCOBA,39100,4,1,10101501
PALO PARA PINTAR,36930,4,58,10101501
PALO PARA TRAPEADOR,39100,4,1,10101501
PANDERETA,42720,4,1,10101501
PANELES EXPOSITIVOS,33300,4,1,10101501
PAPEL BOND T/C,33100,18,3,14111507
PAPEL BOND T/L,33100,18,3,10101501
PAPEL BOND T/O,33100,18,3,10101501
PAPEL BOND T/PLIEGO ROTAFOLIO,33100,4,3,10101501
PAPEL CARTULINA IRIS,33100,37,1,10101501
PAPEL CARTULINA LINO T/C,33100,18,1,10101501
PAPEL DE ALUMINIO,33100,39,1,10101501
PAPEL ENCERADO,33100,39,1,10101501
PAPEL ESPECIAL PARA IMPRIMIR PERGAMINO,33100,4,1,10101501
PAPEL IRIS,33100,4,1,10101501
PAPEL LENTE,33100,33,1,10101501
PAPEL PARA IMPRESORA DE CODIGO DE BARRA,33100,39,1,10101501
PAPEL PARA IMPRESORA DE RECIBOS,33100,39,1,10101501
PAPEL PARAFILM,33100,39,1,10101501
PAPEL STICKER,33100,18,1,10101501
PAPEL TOALLA,33100,39,1,10101501
PAPEL TRANSPARENTE PARA EMBALEJE,33100,39,1,10101501
PAPELILLO,33100,37,1,10101501
PARLANTE PORTATIL,42510,4,1,10101501
PARLANTES,42510,4,1,10101501
PASAJES AEREOS NACIONALES,26110,4,67,10101501
PASAJES AL EXTERIOR,26120,41,1,10101501
Pasajes nacionales,26110,41,1,10101501
PASTA TERMICA PARA PC,37400,4,98,10101501
PASTE VERDE,39100,4,1,10101501
PATCH CORD CABLE,39300,4,1,10101501
PEAJE,25900,4,2,10101501
"PECES, CRUSTACEOS Y MOLUSCOS VIVOS",31300,4,1,10101501
PEDESTALES CON BRAZO PARA DOS MICROFONOS,39600,4,1,10101501
PEGAMENTO DE BARRA,39200,4,1,10101501
PEGAMENTO PARA PISO CERAMICO Y PORCELANATO,37100,4,181,10101501
PEGAMENTO PARA PVC,36930,9,1,10101501
PEGAMENTO RESISTOL,35100,9,181,10101501
PENDAFLEX T/C,33100,24,1,10101501
PENDAFLEX T/O,33100,24,1,10101501
PENECTRÓMETRO,42430,4,1,10101501
PEPTOBISMOL,35210,29,1,10101501
PERCOLADORA,42140,4,1,10101501
PERFORADORA,39200,4,1,10101501
PERMANGANATO DE POTASIO,35100,29,1,10101501
PH-METRO DIGITAL,39520,4,1,10101501
PIE DE REY,39520,4,1,10101501
PIN CON LOGOTIPO,33300,4,1,10101501
PINES PARA PUERTA DE VIDRIO,36930,4,166,10101501
PINZA,39520,4,1,10101501
PINZAS PARA ALGODON,39550,4,1,10101501
PIPETAS,39520,4,1,10101501
PISTOLA SILICON,39200,4,1,10101501
PITCHER/RECIPIENTES MEDIDORES PARA LÍQUIDOS,39400,4,1,10101501
PIZARRA,42710,4,1,10101501
PIZARRA DE CRISTAL (VIDRIO),37200,4,91,10101501
PLACA  DE RECONOCIMIENTO DE VIDRIO,25900,4,1,10101501
PLACA  DE RECONOCIMIENTO VARIOS MATERIALES,25900,4,1,10101501
PLACA FIJA,39520,4,1,10101501
PLACAS DE PETRI,39520,24,1,10101501
PLACAS DE PRUEBA PARA LABORATORIO 3220 PUNTOS 240X210 MM EIC-108,39600,4,1,10101501
PLAFONES DE VINIL PARA CIELO FALSO,37100,4,1,10101501
PLANTA ELECTRICA,42270,4,1,10101501
PLATOS DESECHABLES,39400,33,24,10101501
Plus de coordinacion de carrera,11600,4,3,10101501
PLUVIÓMETRO,39520,4,88,10101501
PLYWOOD,31500,13,129,10101501
PORTA CARNET PLASTICO TRANSPARENTE,39200,4,3,10101501
PORTA CPU,39200,4,1,10101501
PORTA CPU,42110,4,64,10101501
PORTA ELECTRODO,39300,4,161,10101501
PORTA OBJETOS,39520,24,1,10101501
POST IT,33100,33,1,10101501
POSTER,33300,4,71,10101501
PRENSA,42800,4,1,10101501
PROBETA,39520,4,1,10101501
PROBIOTICOS,31200,2,1,10101501
Profesor permanente,11100,4,169,10101501
PROPS,33300,4,1,10101501
PROTEINA PARA PECES,31200,16,7,10101501
PROYECTOR,42510,4,1,10101501
PRUEBA RAPIDA MICROBIOLOGICA,35251,33,1,10101501
PUERTA ABATIBLE,37200,4,1,10101501
PUERTA DE VIDRIO,37200,4,1,10101501
PULIDORA,42800,4,1,10101501
PUNTAS PARA MICROPIPETA,39520,4,1,10101501
PUNTERO LASER,39600,4,1,10101501
PUPITRES,42710,4,1,10101501
"QUISTES DE ARTEMIA DE SIBERIA, TIPO POLVO",35100,11,1,10101501
RADIO DE COMUNICACIÓN,42510,4,1,10101501
RASPBERRY PI,39600,4,1,10101501
RASTRILLO,36400,4,1,10101501
REACTIVO DE KOVACS,35251,29,1,10101501
RECARGA PARA EXTINTORES,35100,11,1,10101501
RECOGEDOR DE BASURA,39100,4,1,10101501
RED DE VOLEIBOL,39800,4,1,10101501
RED PARA CAPTURA DE PECES,36400,4,1,10101501
RED PARA PESCA,36400,4,1,10101501
RED PARA RECOLECTAR PLACNTON,39520,4,1,10101501
REDECILLAS (COFIAS),32310,24,1,10101501
"REDUCCIONES DE (1 1/4"") A (1/2"")",36930,4,58,10101501
REDUCTOR DE PVC,35800,4,1,10101501
REFRACTOMETRO,42430,4,1,10101501
REFRESCO,31110,4,73,10101501
REFRIGERADORA,42140,4,1,10101501
REFRIGERADORA ESPECIAL PARA LABORATORIO,42430,4,1,10101501
REGLA,31500,15,1,10101501
REGLETAS ELECTRICAS,39300,4,1,10101501
REGULADOR DE BUCEO (DE DOS ETAPAS),39600,4,174,10101501
REGULADOR OCTOPUS (PARA BUCEO),39600,4,174,10101501
RELOJ BIOMÉTRICO,42120,4,6,10101501
REMOLQUE PARA LANCHA,42340,4,171,10101501
Reserva presupuestaria proyectos,25900,4,1,10101501
RODOS,36930,4,1,10101501
RODOS METALICO,36100,4,1,10101501
ROTOMARTILLO,42210,4,1,10101501
ROTULOS PVC,33300,4,71,10101501
ROUTER,42510,4,1,10101501
RUPATADINA,35210,24,1,10101501
SACAGRAPAS,39200,4,1,10101501
SACAROSA C12H22O11,35100,29,1,10101501
SALINÓMETRO,42430,4,88,10101501
SEGUETA,36400,4,1,10101501
SELLADOR PARA MADERA,35500,9,69,31211704
SELLO,39200,4,1,10101501
SEMILLA DE MORRO,31200,16,1,10101501
SEPARADORES,33100,4,1,10101501
SERVICIO DE ENMARCADO,25900,4,119,10101501
SERVICIO DE LAMINADO,25300,4,97,10101501
SERVICIO DE LAVADO Y PLANCHADO DE TOGAS,25900,4,120,10101501
SERVICIOS DE CAPACITACION,24500,4,96,10101501
SERVICIOS DE FUMIGACION,23500,4,137,10101501
SERVICIOS DE IMPRESION,25300,4,71,10101501
SERVICIOS DE MICROPERFORADO,33300,4,71,10101501
SERVILLETAS,33100,33,1,10101501
SET DE 4 RECIPIENTES,39400,4,1,10101501
SET DE COLORACION DE GRAM,35251,29,1,10101501
SET DE DIAPASON,39520,40,138,10101501
SIERRA,42260,4,1,10101501
SIERRA DE BANCO,42260,4,1,10101501
SIFON,36100,4,158,10101501
SILICA GEL,35100,3,1,10101501
SILICON PARA MOCHILAS DE FUMIGACION (SERVICIOS GENERALES),35100,4,181,10101501
SILICON PINTABLE (SERVICIOS GENERALES),35100,4,181,12141911
SILLA DE ESPERA,42110,4,1,10101501
SILLA EJECUTIVA,42110,4,1,10101501
SILLA SEMI EJECUTIVA,42110,4,1,10101501
SISTEMA DE CONTROL DE MANEJO DE LANCHAS,39600,4,174,10101501
SISTEMA DE FILTRADO DE AGUA,42230,4,170,10101501
SISTEMA DE PRESION DE AGUA,42230,4,170,10101501
SN74HC00N 74HC00N IC QUAD 2-INPUT NAND GATE 14-DIP,39600,4,1,10101501
SOBRES BLANCOS,33100,4,1,10101501
SOBRES MANILA EXTRAGRANDE,33100,4,1,10101501
SOBRES MANILA T/C,33100,4,1,10101501
SOBRES MANILA T/O,33100,4,1,10101501
"SOLICITUD DE CHEQUERA, CONSTANCIAS BANCARIAS",25500,4,1,10101501
SOLUCION DE BIURET,35251,29,1,10101501
SOLUCION DE EDTA,35251,29,1,10101501
SOMBREROS,32300,4,1,10101501
SOPLADORA /ASPIRADORA,42800,4,95,10101501
SOPORTE TV,36100,4,142,10101501
SOPORTE UNIVERSAL,39520,4,1,10101501
SORGO,31200,16,1,10101501
SPOTS PUBLICITARIOS EN MEDIOS REGIONALES,25600,4,133,10101501
STAN PUBLICITARIO PLEGABLE,33300,4,71,10101501
STAND DOBLE (PARA TECLADO MUSICAL),39600,4,124,10101501
STICKER,33300,4,71,10101501
SUDAGRIP,35210,24,1,10101501
SULFANILAMIDA,35100,29,1,10101501
SULFATO DE AMONIO,35100,29,1,10101501
SULFATO DE HIDRACINA,35100,29,1,10101501
SULFATO DE MANGANESO MNSO?,35100,29,1,10101501
SULFATO DE MERCURIO,35100,29,1,10101501
SULFATO DE MERCURIO HGSO4,35100,29,1,10101501
SULFATO DE PLATA,35100,29,1,10101501
SULFATO FERROSO AMÓNICO (NH?)?FE(SO?)?·6H?O,35100,29,1,10101501
SUMADORA,42120,4,1,10101501
SUPERVISIÓN CONTRUCCIONES Y MEJORAS,47120,4,1,10101501
SWICH,42510,4,1,10101501
TABLA PARA CORTAR,31500,4,1,10101501
TABLA YESO,37100,13,1,10101501
TABLAS PARA ESCRITURA BAJO EL AGUA,39800,4,82,10101501
TABLAS PARA NATACION,39800,4,1,10101501
TABLERO TACTICO,39800,4,1,10101501
TABLEROS,39200,4,1,10101501
TABLEROS MDF PERFORADOS DE 1.2 m X 2.4 m,31500,4,93,10101501
TACO FISHER,36930,4,1,10101501
TALADRO,42800,4,1,10101501
TANQUE DE ALMACENAMIENTO DE AGUA,35800,4,17,10101501
TANQUE DE GEOMEMBRANA (POLIETILENO),35800,4,17,10101501
TANQUE PARA EQUIPO DE BUCEO,36100,4,1,24111802
TAPA CARGA DE LONA,35800,4,180,10101501
TAPADERAS CIEGAS METALICAS,39300,4,1,10101501
TAPAGOTERAS,35100,4,181,10101501
TAPAS DE CONEXIÓN DOBLE CON JACK CAT6 RJ45,39600,4,1,10101501
TAPE TRANSPARENTE,39200,39,1,10101501
TAPETE ANTISALPICADURAS PARA URINARIOS,39100,4,152,10101501
TAPON DE PVC,35800,4,1,10101501
TAPONES,35800,4,1,10101501
TARIFA DE INSCRIPCION PARA PARTICIPAR EN CONGRESO CIENTIFICO,24500,4,1,10101501
TARRO DE VIDRIO,37200,4,1,10101501
TARTRATO DE ANTIMONIO Y POTASIO,35100,29,1,10101501
TARTRATO DE ANTIMONIO Y POTASIO K2SB2C8H4O12· 3 H2O,35100,29,1,10101501
TARTRATO DE SODIO,35100,29,1,10101501
TAZAS CON LOGOTIPO,33300,4,1,10101501
TAZAS DE PORCELANA,39400,4,121,10101501
TE DE PVC,35800,4,1,10101501
TE EN POLVO,31110,4,19,10101501
TECLADO DE 61 TECLAS (PARA MUSICA),42720,4,123,10101501
TECLADO USB,39600,4,1,10101501
TEE (CRUCERO) CIELO FALSO,36100,4,124,10101501
TEFLON,36930,39,1,10101501
TELA PARA LIENZO,32100,43,1,10101501
TELEFONO,42510,4,1,10101501
TELEVISOR,42510,4,1,10101501
TENAZA,36400,4,1,10101501
TENEDORES ACERO INOXIDABLE,39400,27,121,10101501
TENEDORES DESECHABLES,39400,33,24,10101501
TERMOMETRO,42430,4,90,10101501
TERMOREACTOR,42430,4,1,10101501
TERRENO DOMINIO PRIVADO,41110,13,1,10101501
TERRENO DOMINIO PUBLICO,41120,13,1,10101501
TIERRA DE ABONO,37800,14,1,10101501
TIJERAS,39200,4,1,10101501
TIKETS MOVILIDAD INTERNA PAIS DE DESTINO,25900,4,1,10101501
TIMBRES,33700,4,143,10101501
TINA PLASTICA,35800,4,1,10101501
TINTA AMARILLA FLUJO CONTINUO,39600,4,1,10101501
TINTA AMARILLA TÓNER HP (CE412A),39600,4,1,10101501
TINTA CYAN FLUJO CONTINUO,39600,4,1,10101501
TINTA CYAN TÓNER HP (CE411A),39600,4,1,10101501
TINTA MAGENTA FLUJO CONTINUO,39600,4,1,10101501
TINTA MAGENTA TÓNER HP (CE413A),39600,4,1,10101501
TINTA NEGRA FLUJO CONTINUO,39600,4,1,10101501
TINTA NEGRA TÓNER HP (CE410A),39600,4,1,10101501
TINTA PARA ALMOHADILLA,39200,23,1,10101501
TIOSULFATO DE SODIO,35100,29,1,10101501
TIRO PARA VEHICULO,39600,4,174,20102307
TOALLA AMARILLA DE MICROFIBRA (FRANELA),39100,4,1,10101501
TOALLAS SANITARIAS,33100,33,1,10101501
TOKEN,25500,4,169,10101501
TOLDO PARA PATIOS,36930,4,89,10101501
TOLUENO,35100,29,1,10101501
TOMACORRIENTE,39300,4,1,10101501
Tóner HP,39600,4,168,10101501
TONNER COPIADORA KIOSERA,39600,4,1,10101501
TOPES (PATITA) PARA PUERTA DE VIDRIO,39600,4,167,10101501
TORNILLO,36930,4,1,10101501
TOTEM PUBLICITARIO,33300,4,71,10101501
TRAJE DE BUCEO,39800,4,1,10101501
TRAJE DESECHABLE PARA FUMIGAR,32300,4,1,10101501
TRAJE DESECHABLE PARA FUMIGAR,32310,4,1,10101501
TRAJE PARA CUADRO DE DANZA MODERNA,32310,4,1,10101501
TRAJES PARA CUADRO DE DANZA FOLKLORICA,32310,4,1,10101501
TRAJES PARA GRUPO DE TEATRO,32310,4,1,10101501
TRANFER,42270,4,1,10101501
"TRANSISTORES NPN, PNP 15 VALORES",39600,4,1,10101501
Treceavo mes,11510,4,3,10101501
TRICLOROMETANO,35100,29,1,10101501
TRIPA SINTETICA PARA EMBUTIDOS,31110,21,1,10101501
Tripode,39600,4,5,10101501
TROFEOS,25900,4,1,10101501
TSA MEDIO DE CULTIVO,35100,29,1,10101501
TUBERIA CONDUIT EMT,36100,10,1,39131719
TUBERIA DE PVC,35800,10,1,10101501
TUBO DE DESPRENDIMIENTO,39520,4,1,10101501
TUBO HG,36100,10,163,10101501
TUBO LED,39300,4,1,10101501
TUBOS DE ENSAYO,39520,4,1,10101501
UNIFORMES DEPORTIVOS,32310,4,1,10101501
UNION UNIVERSAL DE PVC,35800,4,1,10101501
URINARIO,37100,4,1,10101501
USB BITSCOPE 10. ANALIZADOR LÓGICO.,42900,4,1,10101501
VALLAS DE ENTRENAMIENTO,39800,4,1,10101501
VALVULAS METALICAS,36100,4,1,10101501
VALVULAS PVC,35800,4,1,10101501
VARILLA CORRUGADA,36100,15,156,10101501
VARILLA DE COBRE,39300,4,1,10101501
VARILLA LISA,36100,15,157,10101501
VARILLA PARA AGITADORES,39520,4,1,10101501
VASOS CÓNICOS,39400,33,1,10101501
VASOS DESECHABLES,39400,33,24,10101501
VASOS TERMICOS,39400,33,1,10101501
VENTANA DE VIDRIO,37200,4,1,10101501
VERDE DE BROMOCRESOL C21H14BR4O5S,35100,29,1,10101501
Viaticos al Exterior,26220,7,1,10101501
Viaticos Nacionales,26210,7,1,10101501
VIDEO BALUNS,39600,33,111,10101501
VIDRIO RELOJ,37200,4,1,10101501
VIOLIN,42720,4,1,10101501
VISADO PAIS NO COMUNITARIO,25900,4,1,10101501
VISADO PAIS NO COMUNITARIO,25900,4,1,10101501
WEB CAM,42510,4,115,10101501
XILOFONO,42720,4,1,10101501
YODO,35100,29,1,10101501
ZAPATOS,32400,34,126,10101501
ZEKRYA,39550,4,1,10101501
