nombre,idobjeto,idunidad,idProcesoCompra,idCubs
BANDEJA ALTA ANTIADHERENTE,39400,4,1,10101501
BANDEJA ORGANIZADORA PARA ESCRITORIO,39600,4,3,10101501
BANDEJA PORTA PAPELES,39200,4,1,10101501
BANDERA,32200,4,1,10101501
BANNER,33300,4,1,10101501
BARRA DE SILICON,39200,4,1,10101501
BARRA EXAGONAL PUNTA PALA,36400,4,1,10101501
BARRAS/GUSANOS DE FLOTACION,39800,4,1,10101501
BASCULA,42430,4,1,10101501
BASE CON VARILLA UNIVERSAL,39520,4,1,10101501
"BASE DE MEDIDOR DE 4 TERMINALES, 100 AMPERIOS",39300,4,57,10101501
BASE PARA CONO SUAVE,31110,4,1,10101501
BASE PARA TIRO PARA VEHICULO,39600,4,174,20102307
BASURERO,39100,4,1,10101501
BATERÍA,39300,34,1,10101501
BATERIA (UPS),42120,4,64,10101501
Batería de litio para cámara EOS Canon 80D,39600,4,5,10101501
BATERÍA DE RESPALDO COMPUTADORAS PORTÁTILES,39600,4,1,10101501
BATERIA PARA COMPUTADORA,39600,4,109,10101501
BATERIA PARA MOTOR DE LANCHA (100 AMP),39600,4,174,26111703
BATERIA PARA TERMONEBULIZADORA,39600,4,174,10101501
BATERIAS PARA VEHICULOS,39600,4,174,26111703
BATIDORA,42140,4,118,10101501
BEAKER,39520,4,1,10101501
BECAS NACIONALES,51211,42,1,10101501
BENZALDEHÍDO,35251,29,1,10101501
BETADER,35210,24,1,10101501
BIBLIOGRAFIAS / LIBROS,43100,4,1,10101501
BICARBONATO DE SODIO,35251,29,1,10101501
BITSCOPE MICRO. ANALIZADOR LÓGICO.,42900,4,1,10101501
BIURET,35251,29,1,10101501
BLOQUE DE CONCRETO,37100,4,1,10101501
BOLETO AEREO,26120,4,1,10101501
BOLSA CON PLOMO PARA BUCEO,39800,4,82,10101501
BOLSAS CON TAPA PE,35800,4,1,10101501
BOLSAS PARA ESTERILIZACION,39530,24,1,10101501
BOLSAS PARA VIVERO,35800,4,1,10101501
BOLSAS TRANSPARENTES PARA ARCHIVAR,35800,33,1,10101501
BOLSO PLÁSTICO,33300,4,1,10101501
BOMBA PARA PIPETA,39520,4,88,10101501
BOMBA PARA PUERTA,39600,4,165,10101501
BOMBA SUMERGIBLE,42800,4,1,10101501
Bono de vacaciones,11600,4,3,10101501
BORRADOR PARA PIZARRA,39200,4,1,10101501
BOTAS DE HULE,32400,34,1,10101501
BOTELLAS PARA DBO,39520,5,1,10101501
BOWL DE ACERO INOXIDABLE,39400,4,1,10101501
BREAKER,39300,4,1,10101501
BROCAS,36400,4,178,10101501
BROCHA,36930,4,1,10101501
BROCHE METALICO PARA ARCHIVO,39200,24,1,10101501
BROCHURE,33300,4,71,10101501
BUFFER PH,35100,32,1,10101501
BULBO O PERA DE SUCCIÓN PARA PIPETA,39520,4,1,10101501
BURETAS,39520,4,1,10101501
BUTIROMETRO,39520,4,37,10101501
CABALLETES DE MADERA PARA ARTE,31500,4,128,10101501
CABLE DE ACOMETIDA,39300,15,1,10101501
CABLE DE RED,39300,4,1,10101501
CABLE ELECTRICO,39300,24,1,10101501
CABLE ELECTRICO,39300,15,1,26121634
CABLE HDMI,39600,4,6,10101501
CABLE PARA CONEXIÓN ELÉCTRICA,39300,39,1,10101501
CABLES PARA MICROFONO,39600,4,1,10101501
CAFE,31110,21,1,10101501
CAFETERA,42140,4,1,10101501
CAJA DE LUZ PARA FOTOS,39600,4,5,10101501
CAJA PLASTICA (PARA ALMACENAR),35800,4,180,10101501
CAJAS METALICAS,39300,4,1,10101501
CAJON DE PERCUSION ( PARA MUSICA),42720,4,123,10101501
CALCIO LÍQUIDO,35100,9,1,10101501
CALCULADORA,39200,4,1,10101501
CALDO,35251,29,1,10101501
CAMARA DE NEUBAUER,39520,4,1,10101501
CAMARA DE SEGURIDAD,42510,4,104,10101501
CAMARA FOTOGRAFICA,42510,4,125,10101501
CAMARA MARINA,42510,4,125,10101501
CAMARAS DE AIRE,34400,4,1,10101501
CAMISAS DE PVC,35800,4,1,10101501
CAMISAS TIPO POLO,32310,4,1,10101501
CAMISETA,32310,4,1,10101501
CANALETAS,36100,4,124,30151703
CAÑAMO,32100,39,1,10101501
Canastas (jabas para industria alimentaria),35800,4,4,10101501
CANDADOS,36930,4,1,10101501
CAPACITORES CERÁMICOS,39600,4,1,10101501
CAPACITORES ELECTROLITICOS,39600,4,1,10101501
CAPSULA DE PORCELANA,39520,4,1,10101501
CARBONATO DE MAGNESIO,35100,29,1,10101501
CARBONATO DE SODIO,35100,29,1,10101501
CARPA,39800,4,89,10101501
CARPETAS PLASTICAS T/C,39200,4,3,10101501
CARTUCHO CONTRA OLORES,39100,4,150,10101501
CASCO DIELECTRICO,36400,4,1,10101501
CASILLERO (LOCKER),42110,4,64,10101501
Catorceavo mes,11100,4,3,10101501
CEMENTO GRIS,37100,21,1,10101501
CENTRIFUGADORA,42430,4,1,10101501
CENTRO DE CARGA,39300,4,1,10101501
CEPILLO CON BASTON DE MADERA,39100,4,1,10101501
CEPILLO DE ALAMBRE,36400,4,178,27111907
CEPILLO DE COPA,36400,4,178,27111907
CEPILLO PARA LAVAR SANITARIO,39100,4,1,10101501
CEPILLOS PARA LAVAR OBJETOS,39520,4,1,10101501
CERAMICA,37100,4,182,10101501
CHALECO DE SEGURIDAD,32310,4,21,10101501
CHALECOS SALVA VIDAS,32310,4,21,10101501
CICLOHEXANONA,35251,29,1,10101501
CILINDRO DE GAS LPG,36100,4,1,10101501
CILINDRO PARA EXTINTORES,36100,4,1,10101501
